id,ac_id_07,candidate_bsk_name_07,candidate_bsk_religion_07,candidate_bsk_religion_certainty_07,candidate_bsd_name_07,candidate_bsd_religion_07,candidate_bsd_religion_certainty_07,candidate_app_name_07,candidate_app_religion_07,candidate_app_religion_certainty_07,candidate_rkd_name_07,candidate_rkd_religion_07,candidate_rkd_religion_certainty_07,candidate_bskp_name_07,candidate_bskp_religion_07,candidate_bskp_religion_certainty_07,candidate_unknown_name_07,candidate_unknown_religion_07,candidate_unknown_religion_certainty_07,candidate_jd_s_name_07,candidate_jd_s_religion_07,candidate_jd_s_religion_certainty_07,candidate_inl_name_07,candidate_inl_religion_07,candidate_inl_religion_certainty_07,candidate_ahrbp_name_07,candidate_ahrbp_religion_07,candidate_ahrbp_religion_certainty_07,candidate_bnd_name_07,candidate_bnd_religion_07,candidate_bnd_religion_certainty_07,candidate_rjd_name_07,candidate_rjd_religion_07,candidate_rjd_religion_certainty_07,candidate_ptss_name_07,candidate_ptss_religion_07,candidate_ptss_religion_certainty_07,candidate_bkd_name_07,candidate_bkd_religion_07,candidate_bkd_religion_certainty_07,candidate_bjsh_name_07,candidate_bjsh_religion_07,candidate_bjsh_religion_certainty_07,candidate_ljp_name_07,candidate_ljp_religion_07,candidate_ljp_religion_certainty_07,candidate_abjsp_name_07,candidate_abjsp_religion_07,candidate_abjsp_religion_certainty_07,candidate_psjp_name_07,candidate_psjp_religion_07,candidate_psjp_religion_certainty_07,candidate_ijp_name_07,candidate_ijp_religion_07,candidate_ijp_religion_certainty_07,candidate_bjp_name_07,candidate_bjp_religion_07,candidate_bjp_religion_certainty_07,candidate_jd_u_name_07,candidate_jd_u_religion_07,candidate_jd_u_religion_certainty_07,candidate_nbnp_name_07,candidate_nbnp_religion_07,candidate_nbnp_religion_certainty_07,candidate_thpi_name_07,candidate_thpi_religion_07,candidate_thpi_religion_certainty_07,candidate_mul_name_07,candidate_mul_religion_07,candidate_mul_religion_certainty_07,candidate_sap_name_07,candidate_sap_religion_07,candidate_sap_religion_certainty_07,candidate_jps_name_07,candidate_jps_religion_07,candidate_jps_religion_certainty_07,candidate_mmup_name_07,candidate_mmup_religion_07,candidate_mmup_religion_certainty_07,candidate_ap_name_07,candidate_ap_religion_07,candidate_ap_religion_certainty_07,candidate_vajp_name_07,candidate_vajp_religion_07,candidate_vajp_religion_certainty_07,candidate_anc_name_07,candidate_anc_religion_07,candidate_anc_religion_certainty_07,candidate_jvd_name_07,candidate_jvd_religion_07,candidate_jvd_religion_certainty_07,candidate_swjp_name_07,candidate_swjp_religion_07,candidate_swjp_religion_certainty_07,candidate_ind_name_07,candidate_ind_religion_07,candidate_ind_religion_certainty_07,candidate_ltjf_name_07,candidate_ltjf_religion_07,candidate_ltjf_religion_certainty_07,candidate_jjjkmc_name_07,candidate_jjjkmc_religion_07,candidate_jjjkmc_religion_certainty_07,candidate_ald_name_07,candidate_ald_religion_07,candidate_ald_religion_certainty_07,candidate_rsad_name_07,candidate_rsad_religion_07,candidate_rsad_religion_certainty_07,candidate_ppi_name_07,candidate_ppi_religion_07,candidate_ppi_religion_certainty_07,candidate_ucp_name_07,candidate_ucp_religion_07,candidate_ucp_religion_certainty_07,candidate_asp_name_07,candidate_asp_religion_07,candidate_asp_religion_certainty_07,candidate_jm_name_07,candidate_jm_religion_07,candidate_jm_religion_certainty_07,candidate_svrp_name_07,candidate_svrp_religion_07,candidate_svrp_religion_certainty_07,candidate_ssvp_name_07,candidate_ssvp_religion_07,candidate_ssvp_religion_certainty_07,candidate_kvmp_name_07,candidate_kvmp_religion_07,candidate_kvmp_religion_certainty_07,candidate_bsp_name_07,candidate_bsp_religion_07,candidate_bsp_religion_certainty_07,candidate_bnrp_name_07,candidate_bnrp_religion_07,candidate_bnrp_religion_certainty_07,candidate_bsa_name_07,candidate_bsa_religion_07,candidate_bsa_religion_certainty_07,candidate_ncp_name_07,candidate_ncp_religion_07,candidate_ncp_religion_certainty_07,candidate_lpi_v_name_07,candidate_lpi_v_religion_07,candidate_lpi_v_religion_certainty_07,candidate_hkmp_name_07,candidate_hkmp_religion_07,candidate_hkmp_religion_certainty_07,candidate_bkrp_name_07,candidate_bkrp_religion_07,candidate_bkrp_religion_certainty_07,candidate_mc_name_07,candidate_mc_religion_07,candidate_mc_religion_certainty_07,candidate_abrs_name_07,candidate_abrs_religion_07,candidate_abrs_religion_certainty_07,candidate_pvp_name_07,candidate_pvp_religion_07,candidate_pvp_religion_certainty_07,candidate_mop_name_07,candidate_mop_religion_07,candidate_mop_religion_certainty_07,candidate_abltp_name_07,candidate_abltp_religion_07,candidate_abltp_religion_certainty_07,candidate_spsp_name_07,candidate_spsp_religion_07,candidate_spsp_religion_certainty_07,candidate_ad_name_07,candidate_ad_religion_07,candidate_ad_religion_certainty_07,candidate_bkpp_name_07,candidate_bkpp_religion_07,candidate_bkpp_religion_certainty_07,candidate_rmep_name_07,candidate_rmep_religion_07,candidate_rmep_religion_certainty_07,candidate_aifb_s_name_07,candidate_aifb_s_religion_07,candidate_aifb_s_religion_certainty_07,candidate_rjap_name_07,candidate_rjap_religion_07,candidate_rjap_religion_certainty_07,candidate_ld_name_07,candidate_ld_religion_07,candidate_ld_religion_certainty_07,candidate_jhm_name_07,candidate_jhm_religion_07,candidate_jhm_religion_certainty_07,candidate_bjs_name_07,candidate_bjs_religion_07,candidate_bjs_religion_certainty_07,candidate_mnvp_name_07,candidate_mnvp_religion_07,candidate_mnvp_religion_certainty_07,candidate_sbsp_name_07,candidate_sbsp_religion_07,candidate_sbsp_religion_certainty_07,candidate_rpd_name_07,candidate_rpd_religion_07,candidate_rpd_religion_certainty_07,candidate_dnd_name_07,candidate_dnd_religion_07,candidate_dnd_religion_certainty_07,candidate_amkd_name_07,candidate_amkd_religion_07,candidate_amkd_religion_certainty_07,candidate_iph_name_07,candidate_iph_religion_07,candidate_iph_religion_certainty_07,candidate_sp_name_07,candidate_sp_religion_07,candidate_sp_religion_certainty_07,candidate_abhm_name_07,candidate_abhm_religion_07,candidate_abhm_religion_certainty_07,candidate_lkpt_name_07,candidate_lkpt_religion_07,candidate_lkpt_religion_certainty_07,candidate_ekd_up_name_07,candidate_ekd_up_religion_07,candidate_ekd_up_religion_certainty_07,candidate_nlhp_name_07,candidate_nlhp_religion_07,candidate_nlhp_religion_certainty_07,candidate_rld_name_07,candidate_rld_religion_07,candidate_rld_religion_certainty_07,candidate_rdmp_name_07,candidate_rdmp_religion_07,candidate_rdmp_religion_certainty_07,candidate_bum_name_07,candidate_bum_religion_07,candidate_bum_religion_certainty_07,candidate_upudf_name_07,candidate_upudf_religion_07,candidate_upudf_religion_certainty_07,candidate_rcp_name_07,candidate_rcp_religion_07,candidate_rcp_religion_certainty_07,candidate_bp_name_07,candidate_bp_religion_07,candidate_bp_religion_certainty_07,candidate_bpd_name_07,candidate_bpd_religion_07,candidate_bpd_religion_certainty_07,candidate_bep_name_07,candidate_bep_religion_07,candidate_bep_religion_certainty_07,candidate_ggp_name_07,candidate_ggp_religion_07,candidate_ggp_religion_certainty_07,candidate_shs_name_07,candidate_shs_religion_07,candidate_shs_religion_certainty_07,candidate_cpi_name_07,candidate_cpi_religion_07,candidate_cpi_religion_certainty_07,candidate_pmsp_name_07,candidate_pmsp_religion_07,candidate_pmsp_religion_certainty_07,candidate_iemc_name_07,candidate_iemc_religion_07,candidate_iemc_religion_certainty_07,candidate_phsp_name_07,candidate_phsp_religion_07,candidate_phsp_religion_certainty_07,candidate_rksp_name_07,candidate_rksp_religion_07,candidate_rksp_religion_certainty_07,candidate_brvp_name_07,candidate_brvp_religion_07,candidate_brvp_religion_certainty_07,candidate_vp_name_07,candidate_vp_religion_07,candidate_vp_religion_certainty_07,candidate_pled_name_07,candidate_pled_religion_07,candidate_pled_religion_certainty_07,candidate_ssad_name_07,candidate_ssad_religion_07,candidate_ssad_religion_certainty_07,candidate_fb_s_name_07,candidate_fb_s_religion_07,candidate_fb_s_religion_certainty_07,candidate_pdfo_name_07,candidate_pdfo_religion_07,candidate_pdfo_religion_certainty_07,candidate_ucpi_name_07,candidate_ucpi_religion_07,candidate_ucpi_religion_certainty_07,candidate_bgd_name_07,candidate_bgd_religion_07,candidate_bgd_religion_certainty_07,candidate_rtkp_name_07,candidate_rtkp_religion_07,candidate_rtkp_religion_certainty_07,candidate_rwsp_name_07,candidate_rwsp_religion_07,candidate_rwsp_religion_certainty_07,candidate_inc_name_07,candidate_inc_religion_07,candidate_inc_religion_certainty_07,candidate_ssd_name_07,candidate_ssd_religion_07,candidate_ssd_religion_certainty_07,candidate_cpi_mll_name_07,candidate_cpi_mll_religion_07,candidate_cpi_mll_religion_certainty_07,candidate_rpi_name_07,candidate_rpi_religion_07,candidate_rpi_religion_certainty_07,candidate_uprp_name_07,candidate_uprp_religion_07,candidate_uprp_religion_certainty_07,candidate_rpi_a_name_07,candidate_rpi_a_religion_07,candidate_rpi_a_religion_certainty_07,candidate_rjsa_name_07,candidate_rjsa_religion_07,candidate_rjsa_religion_certainty_07,candidate_jkm_name_07,candidate_jkm_religion_07,candidate_jkm_religion_certainty_07,candidate_aimf_name_07,candidate_aimf_religion_07,candidate_aimf_religion_certainty_07,candidate_rsbp_name_07,candidate_rsbp_religion_07,candidate_rsbp_religion_certainty_07,candidate_udp_name_07,candidate_udp_religion_07,candidate_udp_religion_certainty_07,candidate_lswp_name_07,candidate_lswp_religion_07,candidate_lswp_religion_certainty_07,candidate_nlp_name_07,candidate_nlp_religion_07,candidate_nlp_religion_certainty_07,candidate_lpsp_name_07,candidate_lpsp_religion_07,candidate_lpsp_religion_certainty_07,candidate_jsbsp_name_07,candidate_jsbsp_religion_07,candidate_jsbsp_religion_certainty_07,candidate_jsp_name_07,candidate_jsp_religion_07,candidate_jsp_religion_certainty_07,candidate_aspi_name_07,candidate_aspi_religion_07,candidate_aspi_religion_certainty_07,candidate_brpp_name_07,candidate_brpp_religion_07,candidate_brpp_religion_certainty_07,candidate_rsmd_name_07,candidate_rsmd_religion_07,candidate_rsmd_religion_certainty_07,candidate_ipi_name_07,candidate_ipi_religion_07,candidate_ipi_religion_certainty_07,candidate_nnp_name_07,candidate_nnp_religion_07,candidate_nnp_religion_certainty_07,candidate_abltc_name_07,candidate_abltc_religion_07,candidate_abltc_religion_certainty_07,candidate_aifb_name_07,candidate_aifb_religion_07,candidate_aifb_religion_certainty_07,candidate_cpm_name_07,candidate_cpm_religion_07,candidate_cpm_religion_certainty_07,candidate_bjbcd_name_07,candidate_bjbcd_religion_07,candidate_bjbcd_religion_certainty_07,candidate_abjs_name_07,candidate_abjs_religion_07,candidate_abjs_religion_certainty_07,candidate_rsp_name_07,candidate_rsp_religion_07,candidate_rsp_religion_certainty_07,candidate_bss_name_07,candidate_bss_religion_07,candidate_bss_religion_certainty_07,candidate_sjp_r_name_07,candidate_sjp_r_religion_07,candidate_sjp_r_religion_certainty_07,candidate_ibsp_name_07,candidate_ibsp_religion_07,candidate_ibsp_religion_certainty_07,candidate_ksd_name_07,candidate_ksd_religion_07,candidate_ksd_religion_certainty_07,candidate_brkd_name_07,candidate_brkd_religion_07,candidate_brkd_religion_certainty_07
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAHAVEER SINGH",Hindu,25,,,,MATLOOB,Muslim,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NASIR HUSAIN",Muslim,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YASH PAL SINGH",Hindu,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUTUBDDIN,Unknown,0,,,,,,,,,,"AKBAR ALI",Muslim,46,"RANA PRATAP SINGH",Hindu,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ANWAR JAMEEL",Muslim,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LOKENDRA KUMAR",Hindu,16,,,,,,,,,,SAFIQ,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,"NIBHRASH KUMAR",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASHOK KUMAR RANA",Hindu,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SARWAR NAGINWI",Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,"THAKUR MOOL CHAND CHAUHAN",Hindu,5,,,,,,,,,,,,,"AALE HASAN",Muslim,16,,,,,,,"SHER ALI",Muslim,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MOHAN SINGH",Hindu,5,,,,"RASHEED AHMAD",Muslim,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YASH PAL",Hindu,6,,,,,,,"KM. PREM LATA",Hindu,19,,,,,,,,,,,,,"DR. INDRA DEV SINGH",Hindu,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAGHUVEER,Hindu,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUHAMMAD GAZI",Muslim,83,,,,,,,"ARUN KUMAR",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHEIKH SULAMAN ALIAS PAPPU",Unknown,0,,,,,,,,,,ZAKIR,Muslim,66,"PAWAN KUMAR",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PARSADI SINGH",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUSAIN AHMAD",Muslim,27,,,,ABID,Muslim,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHEIKH AFZAL",Muslim,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LOVE KUSH KUMAR",Hindu,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GHASITA SINGH",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OMWATI DEVI",Hindu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANOJ KUMAR PARAS",Hindu,60,,,,,,,,,,HARKISHAN,Unknown,0,RACHNA,Hindu,66,,,,,,,"BHUPENDRA SINGH",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUNNEY SINGH",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DOONGER SINGH",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAJU LAL",Hindu,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OM PRAKASH",Unknown,0,SUSHILA,Hindu,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RISHI PAL SINGH",Hindu,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHEESH RAM",Hindu,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TIKA RAM",Hindu,5,"RAGHU NATH SINGH",Hindu,46,,,,,,,"SHRI RAM",Hindu,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KAMLESH BHUIYAR",Hindu,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAJ KUMAR",Hindu,5,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DR. SUKH PAL SINGH",Hindu,46,,,,,,,,,,"KUVAR BHARATENDRA",Hindu,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHANDRA PAL SINGH",Hindu,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHAHNAWAZ S/O BADRUJAMA",Unknown,0,,,,,,,NARPAL,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRAKASH,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,"SHAHID ALI",Muslim,9,,,,,,,,,,IRSHAD,Muslim,23,"SUKHVIR SINGH",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KIRPAL SINGH SAINI",Hindu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SUDHIR PARASHAR",Hindu,46,,,,,,,,,,,,,"ZISHAN MALIK",Muslim,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SADARUDDIN,Unknown,0,,,,"ILYAS ANJUM",Muslim,62,,,,,,,,,,"RAM AVTAR SINGH",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARVIND KUMAR S/O MUKHRAM",Hindu,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IQBAL,Muslim,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASHOK CHAUDHARY",Hindu,46,,,,,,,,,,,,,"SWAMI OMVESH",Hindu,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OM PAL",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DR. DHARAMVEER SINGH",Sikh,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHHATERAPAL,Unknown,0,,,,,,,,,,,,,"TARA CHANDR",Unknown,0,"RAJESH KUMAR URF CHUNNU",Hindu,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHATAR SINGH",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RIZWAN AHMAD KHAN",Muslim,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ANEESUR REHMAN",Muslim,66,,,,,,,,,,"RENU CHAUDHARY",Hindu,46,"PRAKASH SINGH YADAV",Hindu,22,,,,,,,"BRAHM SINGH",Hindu,16,"ABHINAY CHAUDHARY",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DHRUV CHAUDHARY",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,"MAJID SHAH",Muslim,33,,,,,,,,,,,,,,,,,,,,,,,,,SOHANPALSINGH,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAMARPAL SINGH",Hindu,16,,,,,,,,,
9,9,,,,,,,,,,,,,RAGHUVIR,Hindu,66,,,,,,,,,,,,,,,,"MOHD SHAHID",Muslim,17,,,,,,,"PRATAP SINGH",Hindu,16,,,,,,,,,,,,,"MANGAL SINGH",Hindu,4,,,,"UMME AMMARA",Muslim,83,,,,,,,,,,,,,,,,,,,PAPPU,Unknown,0,,,,,,,,,,"JAFAR RAZA",Muslim,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AADIL PERVEZ",Muslim,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SMT. PUSPA DEVI",Hindu,3,,,,,,,,,,,,,"NAEM AHMED URF SONU",Hindu,21,,,,,,,,,,"MEHBOOB ALI",Muslim,11,,,,,,,,,,SHAUKAT,Unknown,0,"NADEEM ABBAS",Muslim,19,,,,,,,,,,,,,,,,,,,,,,,,,RAMMURTI,Unknown,0,"ISHRAT ALI",Muslim,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KHURSHID ANWAR",Muslim,9,,,,,,,,,,,,,,,,,,,,,,,,,"RAJEEV KUMAR SINGH",Hindu,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SATVIR SINGH",Hindu,16,,,,"RAJ KUMAR",Hindu,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JAGWATI SAINI",Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FERHAT HASAN",Muslim,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VIJAY PAL",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,FARUQ,Muslim,40,,,,,,,,,,,,,"VIJAY PAL",Hindu,46,,,,,,,"IQBAL AHMED",Muslim,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANDEEP BHARDWAJ",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,"VIJAY SINGH",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
