PC_NO,PC_NAME,PC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTOVOTPOLL,POSITION,likely_religion,likely_religion_certainty
1,Saharanpur,GEN,JAGDISH SINGH RANA,M,GEN,53,BSP,354807,1,Hindu,52
1,Saharanpur,GEN,RASHEED MASOOD,M,GEN,59,SP,269934,2,Muslim,22
1,Saharanpur,GEN,JASWANT SINGH SAINI,M,GEN,38,BJP,99894,3,Hindu,24
1,Saharanpur,GEN,GAJAY SINGH,M,GEN,50,INC,62593,4,Hindu,16
1,Saharanpur,GEN,HAJI MOHAMMED TAUSEEF,M,GEN,45,PECP,9214,5,Muslim,90
1,Saharanpur,GEN,M.RASHID KHAN,M,GEN,45,IND,8096,6,Muslim,16
1,Saharanpur,GEN,CHATTAR SINGH KASHYAP,M,GEN,54,VAJP,4647,7,Hindu,14
1,Saharanpur,GEN,MASHKOOR,M,GEN,49,IND,4433,8,Muslim,66
1,Saharanpur,GEN,NATHLU RAM,M,SC,57,IND,2069,9,Hindu,5
1,Saharanpur,GEN,TEJVEER,M,GEN,48,IND,1773,10,Unknown,0
1,Saharanpur,GEN,CHINTAMANI,M,GEN,60,IND,912,11,Hindu,66
1,Saharanpur,GEN,MOHD.ASIF,M,GEN,25,IND,826,12,Unknown,0
1,Saharanpur,GEN,YOGESH GAMBHIR,M,GEN,41,BD,700,13,Hindu,32
1,Saharanpur,GEN,CHANDRA PRAKASH ARORA,M,GEN,53,IND,650,14,Hindu,21
1,Saharanpur,GEN,SUSHIL KUMAR,M,SC,34,RSBP,574,15,Hindu,46
2,Kairana,GEN,TABASSUM BEGUM,F,GEN,39,BSP,283259,1,Muslim,9
2,Kairana,GEN,HUKUM SINGH,M,GEN,71,BJP,260796,2,Hindu,16
2,Kairana,GEN,SHAJAN MASOOD,M,GEN,36,SP,124802,3,Muslim,16
2,Kairana,GEN,SURENDRA KUMAR,M,GEN,45,INC,37795,4,Hindu,5
2,Kairana,GEN,LAKHMI,M,GEN,53,IND,5707,5,Unknown,0
2,Kairana,GEN,ADVOCATE BRAHAM PAL GURJAR,M,GEN,38,IND,3635,6,Hindu,46
2,Kairana,GEN,MUKTA SINGH,F,GEN,35,IND,2155,7,Hindu,46
2,Kairana,GEN,KARAN SINGH SAINI,M,GEN,40,JSP,1758,8,Hindu,20
2,Kairana,GEN,KULDEEP,M,GEN,32,IND,1228,9,Hindu,16
2,Kairana,GEN,ABHISHEK,M,GEN,25,IND,1052,10,Hindu,6
2,Kairana,GEN,RAJ BAHADUR,M,SC,26,IJP,814,11,Unknown,0
2,Kairana,GEN,PRIYA KUMAR,M,GEN,37,ABHM,787,12,Hindu,46
2,Kairana,GEN,KUNWAR PAL,M,GEN,50,RDMP,604,13,Hindu,46
2,Kairana,GEN,RAJNISH NOTIAL,M,SC,28,ASP,486,14,Hindu,83
2,Kairana,GEN,SHAFIK,M,GEN,52,UNLP,457,15,Unknown,0
3,Muzaffarnagar,GEN,KADIR RANA,M,GEN,45,BSP,275318,1,Hindu,16
3,Muzaffarnagar,GEN,ANURADHA CHAUDHARY,F,GEN,48,RLD,254720,2,Hindu,46
3,Muzaffarnagar,GEN,THAKUR SANGEET SINGH SOM,M,GEN,29,SP,106667,3,Hindu,26
3,Muzaffarnagar,GEN,HARINDRA SINGH MALIK,M,GEN,54,INC,73848,4,Hindu,27
3,Muzaffarnagar,GEN,ABDUL AZIZ ANSARI,M,GEN,57,PECP,6537,5,Muslim,50
3,Muzaffarnagar,GEN,ASHUTOSH PANDEY,M,GEN,30,LD,3781,6,Hindu,46
3,Muzaffarnagar,GEN,DHEER SINGH,M,GEN,45,CPI,3655,7,Hindu,46
3,Muzaffarnagar,GEN,RANVEER,M,GEN,49,IND,3597,8,Unknown,0
3,Muzaffarnagar,GEN,MUKTA SINGH,F,GEN,25,IND,3037,9,Hindu,46
3,Muzaffarnagar,GEN,VEERPAL,M,GEN,32,IND,2242,10,Unknown,0
3,Muzaffarnagar,GEN,SALEK CHAUDHARY,M,GEN,37,IND,1883,11,Hindu,16
3,Muzaffarnagar,GEN,REETA URF REETA KASHYAP,F,GEN,31,IND,1640,12,Christian,2
3,Muzaffarnagar,GEN,VIJAY,M,SC,36,IND,1296,13,Hindu,66
3,Muzaffarnagar,GEN,INDERPAL,M,GEN,67,IND,1119,14,Unknown,0
3,Muzaffarnagar,GEN,NARENDRA KUMAR,M,GEN,44,IND,795,15,Hindu,46
3,Muzaffarnagar,GEN,NAWAB ALI,M,GEN,38,NLHP,723,16,Muslim,16
3,Muzaffarnagar,GEN,SATISH KUMAR,M,GEN,32,JSP,710,17,Hindu,46
3,Muzaffarnagar,GEN,BHAGWAT SINGH,M,SC,66,IND,694,18,Hindu,16
3,Muzaffarnagar,GEN,PARMOD PAL,M,GEN,41,IND,678,19,Hindu,16
3,Muzaffarnagar,GEN,SALAMUDEEN URF SALMU MALIK,M,GEN,45,NELU,635,20,Muslim,16
3,Muzaffarnagar,GEN,SATYAVEER,M,GEN,45,IND,600,21,Unknown,0
3,Muzaffarnagar,GEN,RAJENDRA SINGH,M,GEN,60,IND,449,22,Hindu,4
3,Muzaffarnagar,GEN,MANISH BHAI URF NITU,M,GEN,35,ABHM,377,23,Hindu,62
4,Bijnor,GEN,SANJAY SINGH CHAUHAN,M,GEN,45,RLD,244587,1,Hindu,52
4,Bijnor,GEN,SHAHID SIDDIQUI,M,GEN,58,BSP,216157,2,Muslim,7
4,Bijnor,GEN,SAIDUZZAMAN,M,GEN,67,INC,85158,3,Unknown,0
4,Bijnor,GEN,KARTAR SINGH BHADANA,M,GEN,59,NCP,74881,4,Hindu,24
4,Bijnor,GEN,DR. YASHVIR SINGH,M,GEN,62,SP,51079,5,Hindu,16
4,Bijnor,GEN,SURESH CHAND,M,GEN,44,RMSP,5037,6,Hindu,46
4,Bijnor,GEN,DIGVIJAY SINGH,M,GEN,30,IND,3771,7,Hindu,46
4,Bijnor,GEN,SAGIR AHMAD,M,GEN,51,NLHP,3328,8,Hindu,2
4,Bijnor,GEN,SABDUL,M,GEN,37,IND,3002,9,Unknown,0
4,Bijnor,GEN,MONU KUMAR RAVI,M,SC,25,IND,2906,10,Hindu,13
4,Bijnor,GEN,MOHD. AFSHAR,M,GEN,33,ASP,2326,11,Muslim,66
4,Bijnor,GEN,CHAND KUMAR,M,GEN,48,IND,2310,12,Hindu,16
4,Bijnor,GEN,IRFAN ALI,M,GEN,45,IND,2123,13,Muslim,46
4,Bijnor,GEN,DAVENDER SINGH,M,GEN,72,IND,1827,14,Hindu,16
4,Bijnor,GEN,ABDUL SAMAD,M,GEN,37,IND,1456,15,Muslim,19
4,Bijnor,GEN,PRABHAT KUMAR,M,GEN,32,IND,1364,16,Hindu,46
4,Bijnor,GEN,RAJ RISHI,M,GEN,46,IND,1184,17,Hindu,32
4,Bijnor,GEN,SURENDRA SINGH,M,SC,49,IJP,1011,18,Hindu,5
4,Bijnor,GEN,SALESH KUMAR ALIAS SADHAWI SARLESH GIRI,F,GEN,41,MKUP,954,19,Hindu,46
4,Bijnor,GEN,RAM GIRI,M,GEN,62,IND,869,20,Hindu,8
4,Bijnor,GEN,ABDUL BASIT,M,GEN,64,KKJHS,807,21,Muslim,83
4,Bijnor,GEN,PARAS RAM,M,GEN,46,VAJP,776,22,Hindu,14
4,Bijnor,GEN,SHIVA CHARAN,M,SC,71,IND,677,23,Hindu,9
5,Nagina,SC,YASHVIR SINGH,M,SC,36,SP,234815,1,Hindu,16
5,Nagina,SC,RAM KISHAN SINGH,M,SC,65,BSP,175127,2,Hindu,20
5,Nagina,SC,MUNSIRAM,M,SC,59,RLD,163062,3,Unknown,0
5,Nagina,SC,ISAM SINGH,M,SC,51,INC,31779,4,Unknown,0
5,Nagina,SC,RAM CHANDER,M,SC,44,IND,11012,5,Hindu,29
5,Nagina,SC,YADRAM,M,SC,44,IND,5963,6,Unknown,0
5,Nagina,SC,RANJEET,M,SC,40,NBNP,4997,7,Hindu,66
5,Nagina,SC,UDIT RAJ,M,SC,51,IJP,3656,8,Hindu,5
5,Nagina,SC,BHISHAM PRASAD,M,SC,52,IND,2853,9,Hindu,46
5,Nagina,SC,VIJAY PRAKASH,M,SC,70,PECP,2560,10,Hindu,13
5,Nagina,SC,TEJ SINGH,M,SC,53,ASP,2446,11,Hindu,9
5,Nagina,SC,BABLI ALIAS GULSAN JAHAN,F,SC,34,NELU,2275,12,Unknown,0
5,Nagina,SC,NOBAHAR SINGH,M,SC,49,IND,1520,13,Hindu,16
5,Nagina,SC,ASARPAT,M,SC,41,IND,1403,14,Unknown,0
6,Moradabad,GEN,MOHAMMED AZHARUDDIN,M,GEN,46,INC,301283,1,Muslim,90
6,Moradabad,GEN,KUNWAR SARVESH KUMAR ALIAS RAKESH,M,GEN,57,BJP,252176,2,Hindu,40
6,Moradabad,GEN,RAJIV CHANNA,M,GEN,46,BSP,147594,3,Hindu,83
6,Moradabad,GEN,MOHAMMAD RIZWAN,M,GEN,58,SP,27982,4,Muslim,62
6,Moradabad,GEN,HARIOM BALMIKI,M,SC,35,IND,5675,5,Hindu,83
6,Moradabad,GEN,SAGIR HUSAIN,M,GEN,36,IND,5121,6,Muslim,16
6,Moradabad,GEN,FARID JABBAR,M,GEN,46,IND,2759,7,Muslim,11
