Cand_Code,Cand_Name,Party_code,likely_religion,likely_religion_certainty
S24PC01CA01,RAGHAV LAKHANPAL,N0002,Hindu,83
S24PC01CA02,IMRAN MASOOD,N0005,Muslim,46
S24PC01CA03,JAGDISH SINGH RANA,N0001,Hindu,52
S24PC01CA04,SHAZAN MASOOD ALIAS SHADAN MASOOD,S0040,Muslim,62
S24PC01CA05,None of the Above,N0000,Unknown,0
S24PC01CA06,HANSRAJ SAINI,N1001,Hindu,83
S24PC01CA07,SESHRAJ,N1001,Unknown,0
S24PC01CA08,YOGESH KUMAR,S0001,Hindu,5
S24PC01CA09,CP VERMA,N1001,Hindu,16
S24PC01CA10,SHIV KUMAR,U0151,Hindu,16
S24PC01CA11,RATAN SINGH,U0201,Unknown,0
S24PC01CA12,RAGHUVEER SINGH BODH,N1001,Hindu,68
S24PC01CA13,MOHD FIROZ AFTAB,N1001,Muslim,5
S24PC01CA14,SHAHANAVAJ,U1195,Unknown,0
S24PC01CA15,RAJENDER KUMAR,U0015,Sikh,9
S24PC02CA01,HUKUM SINGH,N0002,Hindu,16
S24PC02CA02,NAHID HASAN,S0040,Muslim,46
S24PC02CA03,KANWAR HASAN,N0001,Muslim,16
S24PC02CA04,KARTAR SINGH BHADANA,S0038,Hindu,24
S24PC02CA05,DIVAKAR KASHYAP,S0006,Hindu,13
S24PC02CA06,None of the Above,N0000,Unknown,0
S24PC02CA07,KRISHANPAL,N1001,Unknown,0
S24PC02CA08,SUNIL KUMAR KASANA,S0001,Hindu,24
S24PC02CA09,MOHANLAL,N1001,Unknown,0
S24PC02CA10,RAMKARAN KASHYAP,U0422,Unknown,0
S24PC02CA11,PARDIP,U0201,Unknown,0
S24PC02CA12,SUNITA,S0021,Hindu,66
S24PC03CA01,DR. SANJEEV KUMAR BALYAN,N0002,Hindu,66
S24PC03CA02,KADIR RANA,N0001,Hindu,16
S24PC03CA03,VIRENDER SINGH,S0040,Hindu,16
S24PC03CA04,PANKAJ AGARWAL,N0005,Hindu,46
S24PC03CA05,None of the Above,N0000,Unknown,0
S24PC03CA06,RAJESH DEVI ALIAS RADHIKA BALIYAN,S0006,Hindu,29
S24PC03CA07,RAKESH,N1001,Hindu,66
S24PC03CA08,PHOOL SINGH PAL,N1001,Hindu,49
S24PC03CA09,ANIL KUMAR,U0201,Hindu,22
S24PC03CA10,MOHAMMED YAMIN,S0001,Muslim,90
S24PC03CA11,SHANDAR GUFRAN,N1001,Unknown,0
S24PC03CA12,GUFRAN AHMAD,N1001,Hindu,2
S24PC03CA13,JAGBIR SINGH,N1001,Hindu,16
S24PC03CA14,NASEEM AHMAD ANSARI,N1001,Muslim,50
S24PC03CA15,ANKUR,N1001,Unknown,0
S24PC03CA16,MO. YAMIN,U0126,Unknown,0
S24PC03CA17,LALIT CHAUHAN,S0021,Hindu,9
S24PC03CA18,SHABNAM,N1001,Muslim,66
S24PC03CA19,MANGE RAM KASHYAP,U0871,Hindu,8
S24PC03CA20,CHATAR SINGH KASHYAP,U1547,Hindu,14
S24PC04CA01,KUNWAR BHARATENDRA,N0002,Hindu,83
S24PC04CA02,SHAHNAWAZ RANA,S0040,Hindu,16
S24PC04CA03,MALOOK NAGAR,N0001,Hindu,16
S24PC04CA04,JAYA PRADA NAHATA,S0038,Hindu,11
S24PC04CA05,MOHAMMAD MOOSA,U1033,Muslim,62
S24PC04CA06,None of the Above,N0000,Unknown,0
S24PC04CA07,GAJRESH KUMAR,N1001,Hindu,16
S24PC04CA08,UMESH ALIES PANI,N1001,Hindu,5
S24PC04CA09,KAMAL,N1001,Muslim,16
S24PC04CA10,GAURAV,S0001,Hindu,66
S24PC04CA11,UDAY ALIES UDAYVEER,U0307,Hindu,7
S24PC04CA12,MOHAMAD ADEEB,U1136,Muslim,25
S24PC04CA13,PARVEZ AQIL,U0115,Muslim,14
S24PC05CA01,Dr. YASHWANT SINGH,N0002,Hindu,46
S24PC05CA02,YASHVIR SINGH,S0040,Hindu,16
S24PC05CA03,GIRISH CHANDRA,N0001,Hindu,46
S24PC05CA04,SHEESHRAM SINGH RAVI,U1033,Hindu,14
S24PC05CA05,None of the Above,N0000,Unknown,0
S24PC05CA06,BHAGWAN DASS RATHOR,U0855,Unknown,0
S24PC05CA07,SUNIL,N1001,Hindu,7
S24PC05CA08,SARIKA,S0001,Hindu,66
S24PC05CA09,SHAMSHER,N1001,Sikh,66
S24PC05CA10,OMPRAKASH RAVI,S0042,Hindu,13
S24PC05CA11,TEJ SINGH,U0151,Hindu,9
S24PC05CA12,ASARPAT SINGH,N1001,Hindu,16
S24PC05CA13,MANJU DEVI,U0810,Hindu,9
S24PC05CA14,SHARISHTHA KUMAR SINGH,U0657,Hindu,46
S24PC05CA15,VINOD KUMAR,U0201,Hindu,46
S24PC06CA01,KUNWER SARVESH KUMAR,N0002,Hindu,5
S24PC06CA02,DR S. T. HASAN,S0040,Muslim,16
S24PC06CA03,HAJI MOHD YAQOOB,N0001,Muslim,62
S24PC06CA04,ENGINEER MOHAMMAD IRFAN,U1033,Muslim,62
S24PC06CA05,BEGUM NOOR BANO ALIAS MEHTAB,N0005,Muslim,7
S24PC06CA06,SAURABH PRATAP SINGH,S0006,Hindu,19
S24PC06CA07,None of the Above,N0000,Unknown,0
S24PC06CA08,VIMAL KUMAR,S0001,Hindu,5
S24PC06CA09,HARIOM,U0984,Hindu,66
S24PC06CA10,NAFISUDDIN,N0004,Unknown,0
S24PC06CA11,AMIT KUMAR,U0201,Hindu,46
S24PC06CA12,SANDEEP KUMAR,U1372,Hindu,46
S24PC06CA13,SATISH CHANDRA SHARMA,U0934,Hindu,50
S24PC06CA14,TEAJ SINGH SAINI,U1273,Hindu,90
S24PC06CA15,JAIPAL SINGH SAINI,S0042,Hindu,17
S24PC06CA16,ROOPA CHANDRA SINGH,N1001,Hindu,50
S24PC06CA17,RAJ KUMAR GUPTA,N1001,Hindu,21
S24PC06CA18,KAMAR ALAM,U0602,Muslim,16
S24PC06CA19,MOHD ZAFAR IQBAL,U0065,Muslim,29
S24PC07CA01,DR. NEPAL SINGH,N0002,Hindu,16
S24PC07CA02,NASEER AHMAD KHAN,S0040,Muslim,50
S24PC07CA03,NAWAB KAZIM ALI KHAN,N0005,Muslim,29
S24PC07CA04,AKBAR HUSAIN,N0001,Muslim,46
S24PC07CA05,None of the Above,N0000,Unknown,0
S24PC07CA06,JANNAT NISHA,U0115,Muslim,3
S24PC07CA07,JAGMOHAN,N1001,Hindu,6
S24PC07CA08,NAVED MIAN,N1001,Muslim,16
S24PC07CA09,VIJENDRA SINGH,U1158,Hindu,16
S24PC07CA10,TEJPAL SINGH,N1001,Jain,33
S24PC07CA11,SYED SALMAN ALI,S0001,Muslim,24
S24PC07CA12,JAGDISH SARAN SAGAR,N1001,Hindu,9
S24PC07CA13,AKBAR MASOOD,N1001,Muslim,46
S24PC08CA01,SATYAPAL SINGH,N0002,Hindu,16
S24PC08CA02,DR SHAFIQ- UR RAHMAN BARQ,S0040,Muslim,83
S24PC08CA03,AQEEL-UR -REHMAN KHAN,N0001,Muslim,16
S24PC08CA04,DHARAM YADAV ALIAS D. P. YADAV,U1251,Hindu,24
S24PC08CA05,ACHARYA PRAMOD KRISHNAM,N0005,Hindu,66
S24PC08CA06,None of the Above,N0000,Unknown,0
S24PC08CA07,NUTAN VIJAY ADVOCATE,N1001,Hindu,66
S24PC08CA08,DR. RASHID ALI,U1033,Muslim,9
S24PC08CA09,MOHD ASLAM ALIAS PASHA,U1316,Muslim,21
S24PC08CA10,FIROZ HAIDER,N1001,Muslim,11
S24PC08CA11,RASHID,N1001,Muslim,6
S24PC08CA12,NANAD RAM KHADAGVANSHI,N1001,Hindu,6
S24PC08CA13,AQEEL AHMAD,N1001,Muslim,11
S24PC08CA14,REKHA DEVI YADAV,U1365,Hindu,19
S24PC09CA01,KANWAR SINGH TANWAR,N0002,Hindu,90
S24PC09CA02,HUMERA AKHTAR,S0040,Muslim,16
S24PC09CA03,FARHAT HASAN,N0001,Muslim,4
S24PC09CA04,RAKESH TIKAIT,S0038,Hindu,83
S24PC09CA05,None of the Above,N0000,Unknown,0
S24PC09CA06,SYED KALBE RUSHAID RIZVI,S0001,Muslim,66
S24PC09CA07,NARESH KUMAR,N1001,Hindu,46
S24PC09CA08,KHAJAN SINGH,U1158,Hindu,16
S24PC09CA09,SURENDRA SINGH,N1001,Hindu,5
S24PC09CA10,NARESH CHAND,N1001,Hindu,46
S24PC09CA11,SARVESH KUMAR SAINI,S0042,Hindu,22
S24PC09CA12,HUSNEIN RAZAA,U0991,Unknown,0
S24PC09CA13,BRAJLAL,U0201,Unknown,0
S24PC09CA14,RAKESH,U1033,Hindu,66
S24PC09CA15,MAHESH,U1316,Hindu,66
S24PC09CA16,RAJPAL,U0015,Sikh,66
S24PC10CA01,RAJENDRA AGARWAL,N0002,Hindu,4
S24PC10CA02,MOHD SHAHID AKHLAK,N0001,Muslim,26
S24PC10CA03,SHAHID MANZOOR,S0040,Muslim,35
S24PC10CA04,NAGMA,N0005,Unknown,0
S24PC10CA05,DR. (EX. MAJ) HIMANSHU SINGH,S0001,Hindu,46
S24PC10CA06,None of the Above,N0000,Unknown,0
S24PC10CA07,SUNIL DUTT,N1001,Hindu,9
S24PC10CA08,MUKESH KUMAR,N1001,Hindu,46
S24PC10CA09,MOHD USMAN GHAZI,U1147,Muslim,21
S24PC10CA10,MOHD SAJID SAIFI,U0201,Muslim,66
S24PC10CA11,ATUL KHODAWAL,N1001,Hindu,83
S24PC10CA12,IQRA CHOUDHARY,N1001,Hindu,16
S24PC10CA13,APHAJAL,N1001,Unknown,0
S24PC10CA14,ANIL,N1001,Hindu,23
S24PC11CA01,DR. SATYA PAL SINGH,N0002,Hindu,21
S24PC11CA02,GHULAM MOHAMMED,S0040,Muslim,46
S24PC11CA03,AJIT SINGH,S0038,Hindu,21
S24PC11CA04,PRASHANT CHAUDHRI,N0001,Unknown,0
S24PC11CA05,SOMENDAR DHAKA,S0001,Unknown,0
S24PC11CA06,JAIVINDRA KUMAR,N1001,Hindu,16
S24PC11CA07,None of the Above,N0000,Unknown,0
S24PC11CA08,ANIL KUMAR,U1033,Hindu,22
S24PC11CA09,NISHANT,N1001,Unknown,0
S24PC11CA10,RUKSANA,N1001,Unknown,0
S24PC11CA11,SUBHASH CHAND KASHYAP,N1001,Hindu,13
S24PC11CA12,ARVIND,N1001,Hindu,66
S24PC11CA13,KRISHAN PAL,U0934,Hindu,5
S24PC11CA14,YUNUSH,U0980,Unknown,0
S24PC11CA15,AJAY PAL,N1001,Hindu,46
S24PC12CA01,VIJAY KUMAR SINGH,N0002,Hindu,50
S24PC12CA02,RAJ BABBAR,N0005,Unknown,0
S24PC12CA03,MUKUL,N0001,Hindu,66
S24PC12CA04,SUDHAN KUMAR,S0040,Hindu,46
S24PC12CA05,SHAZIA ILMI MALIK,S0001,Muslim,46
S24PC12CA06,None of the Above,N0000,Unknown,0
S24PC12CA07,SANJEEV KUMAR,N1001,Hindu,46
S24PC12CA08,SABIR,N1001,Muslim,66
S24PC12CA09,SURESH PAL,U0349,Hindu,46
S24PC12CA10,NARESH GAUTAM,U0201,Hindu,34
S24PC12CA11,SALEEM MALIK,N1001,Muslim,46
S24PC12CA12,RINKU KUMAR TYAGI,N1001,Hindu,83
S24PC12CA13,RAMPHAL SHAKYA,N1001,Hindu,16
S24PC12CA14,VINOD KUMAR TYAGI,N1001,Hindu,66
S24PC12CA15,KESHAV CHOUDHARY,N1001,Hindu,46
S24PC12CA16,NITIN,N1001,Hindu,66
S24PC13CA01,DR. MAHESH SHARMA,N0002,Hindu,46
S24PC13CA02,NARENDRA BHATI,S0040,Hindu,46
S24PC13CA03,SATISH KUMAR,N0001,Hindu,46
S24PC13CA04,KISHAN PAL SINGH,S0001,Hindu,50
S24PC13CA05,RAMESH CHAND TOMAR,N0005,Unknown,0
S24PC13CA06,MOHD SABIR ANSARI,S0006,Muslim,50
S24PC13CA07,KADEEM,N1001,Muslim,66
S24PC13CA08,DHARMENDER,U0498,Sikh,66
S24PC13CA09,None of the Above,N0000,Unknown,0
S24PC13CA10,GRISA KUMAR,N1001,Hindu,16
