dist_id,ac_no,part_no,lat,long
1,1,218,30.0473897,77.7618181
1,1,224,30.0473897,77.7618181
1,1,225,30.0473897,77.7618181
1,1,226,30.0473897,77.7618181
1,1,227,30.0473897,77.7618181
1,1,228,30.0473897,77.7618181
1,1,229,30.0473897,77.7618181
1,1,231,28.6025932,77.3142692
1,1,232,28.6025932,77.3142692
1,1,234,28.6025932,77.3142692
1,1,235,28.6025932,77.3142692
1,1,236,28.6025932,77.3142692
1,1,237,28.6025932,77.3142692
1,1,238,28.6025932,77.3142692
1,1,239,28.6025932,77.3142692
1,1,265,30.0473897,77.7618181
1,1,266,30.0473897,77.7618181
1,1,267,30.0473897,77.7618181
1,1,268,30.0473897,77.7618181
1,1,269,30.0473897,77.7618181
1,1,270,30.0473897,77.7618181
1,1,271,30.0473897,77.7618181
1,1,272,30.0473897,77.7618181
1,1,273,30.0473897,77.7618181
1,1,274,30.0473897,77.7618181
1,1,275,30.0473897,77.7618181
1,1,276,30.0473897,77.7618181
1,1,277,30.0473897,77.7618181
1,1,278,30.0473897,77.7618181
1,1,279,30.0473897,77.7618181
1,1,280,30.0473897,77.7618181
1,1,281,30.0473897,77.7618181
1,1,282,30.0473897,77.7618181
1,1,283,30.0473897,77.7618181
1,1,284,30.0473897,77.7618181
1,1,285,30.0473897,77.7618181
1,1,286,30.0473897,77.7618181
1,1,287,30.0473897,77.7618181
1,1,288,30.0473897,77.7618181
1,1,296,30.0473897,77.7618181
1,1,297,30.0473897,77.7618181
1,1,298,30.0473897,77.7618181
1,1,299,30.0473897,77.7618181
1,1,300,30.0473897,77.7618181
1,1,302,30.0473897,77.7618181
1,1,303,30.0473897,77.7618181
1,1,304,30.0473897,77.7618181
1,1,305,30.0473897,77.7618181
1,1,306,30.0473897,77.7618181
1,1,308,30.0473897,77.7618181
1,1,311,30.0473897,77.7618181
1,1,312,30.0473897,77.7618181
1,1,313,30.0473897,77.7618181
1,1,314,30.0473897,77.7618181
1,1,315,30.0473897,77.7618181
1,1,316,30.0473897,77.7618181
1,1,317,30.07453247294158,77.78086129629928
1,1,318,30.0473897,77.7618181
1,1,319,30.0473897,77.7618181
1,1,320,30.055029743150502,77.76396854648932
1,1,321,30.048068586874546,77.75852991355538
1,1,322,30.048096803849482,77.75842146668636
1,1,323,30.048068586874546,77.75852991355538
1,1,324,30.048005558598053,77.75841012100048
1,4,100,26.8155054,94.2136775
1,4,107,25.4133682,86.1070522
1,4,237,29.977238,77.77858
1,4,238,29.977238,77.77858
1,4,246,29.9546287,77.7555714
1,4,247,29.9546287,77.7555714
1,4,289,29.9201812,77.7314117
1,4,290,29.977238,77.77858
1,4,291,29.900195,77.7385914
1,4,293,29.8935002,77.7393067
1,4,99,26.8103939,94.2311793
1,5,15,29.85929921214157,77.71798533840237
1,5,16,29.844608930747277,77.73126160026753
1,5,168,28.7677226,76.567659
1,5,22,29.81467856621522,77.75611963003216
1,6,78,30.4244779,74.0484979
10,81,180,28.6815875,77.2013711
10,81,19,27.6888966,76.616324
10,81,20,27.6888966,76.616324
10,81,209,27.7371255,77.2425161
10,81,21,27.6888966,76.616324
10,81,210,27.7371255,77.2425161
10,81,23,27.6888966,76.616324
10,81,24,27.6888966,76.616324
10,83,133,27.3815217,77.4947306
10,83,22,28.7281933,77.1613697
10,83,23,28.7281933,77.1613697
10,83,24,27.4250055,77.4140228
10,83,27,27.4765201,77.3877172
10,83,28,28.7345763,77.1629154
10,83,288,27.3227082,77.5567367
10,83,29,28.7280237,77.165867
10,83,30,28.7281933,77.1613697
10,83,31,28.7281933,77.1613697
10,83,32,28.7281933,77.1613697
10,83,33,28.7281933,77.1613697
10,83,39,28.7280237,77.165867
10,83,43,27.4702513,77.4080117
10,85,154,29.298439,75.6471016
10,85,321,30.77788,76.5322405
11,95,249,17.4074236,78.4507807
11,95,283,26.8524385,75.8111202
11,95,292,26.8524385,75.8111202
11,95,321,26.8524385,75.8111202
11,96,303,31.6203215,74.877386
11,98,13,27.1331053,78.4650707
11,99,109,10.5435377,76.1613062
11,99,114,31.5421973,75.2363929
11,99,118,31.5421973,75.2363929
11,99,120,31.5421973,75.2363929
11,99,121,10.5253017,76.1256555
11,99,123,31.5421973,75.2363929
11,99,124,10.5253017,76.1256555
11,99,336,10.5253017,76.1256555
11,99,340,31.5421973,75.2363929
12,108,10,24.2055487,93.9055304
12,108,11,24.2055487,93.9055304
12,108,12,24.2055487,93.9055304
12,108,18,24.2055487,93.9055304
12,108,19,24.2055487,93.9055304
12,108,299,29.7361468,76.9879057
12,108,368,29.7361468,76.9879057
12,108,371,29.7361468,76.9879057
12,108,5,24.2055487,93.9055304
12,108,6,24.2055487,93.9055304
12,108,7,24.2055487,93.9055304
12,108,8,24.2055487,93.9055304
12,108,9,24.2055487,93.9055304
13,103,32,28.5395768,77.2655217
13,103,33,28.5395769,77.2655227
13,103,34,28.5395769,77.2655228
13,103,37,28.5395768,77.2655216
13,103,38,28.5395768,77.2655216
13,103,39,28.5395765,77.2655215
13,103,40,28.5395768,77.2655217
13,103,41,28.5395764,77.2655212
13,103,42,28.5395768,77.2655215
13,103,43,28.5395764,77.2655213
13,103,61,28.5395771,77.2655215
13,103,62,28.5395768,77.2655217
13,103,63,28.5395768,77.2655216
13,103,64,28.5395769,77.2655227
13,103,65,28.5395761,77.265522
13,103,66,28.5395761,77.265522
13,103,71,28.5395761,77.265522
13,103,75,28.5395769,77.2655228
13,103,76,28.5395766,77.2655217
13,103,77,28.5395768,77.2655217
13,103,80,28.5395766,77.2655238
14,78,352,22.433523,70.0993217
14,78,353,22.433523,70.0993217
14,78,355,20.281884,85.8182945
14,78,356,20.2768911,85.8215957
14,78,364,20.281884,85.8182945
14,78,365,20.281884,85.8182945
14,79,224,10.0981767,76.451918
14,79,225,10.0981767,76.451918
14,79,226,10.0981767,76.451918
14,79,228,10.0981767,76.451918
14,79,231,10.0981767,76.451918
14,79,232,10.0981767,76.451918
14,79,233,10.0981767,76.451918
14,79,234,10.0981767,76.451918
14,79,235,10.0981767,76.451918
14,79,301,10.1046584,76.4562048
14,79,303,10.0965598,76.4478457
14,79,304,10.0965598,76.4478457
14,79,305,10.0965598,76.4478457
14,79,306,10.0965598,76.4478457
14,79,307,10.0965598,76.4478457
14,79,343,28.6962796,77.1766587
14,79,344,28.6951511,77.1730721
14,79,346,28.6930318,77.1795168
14,79,347,28.6951511,77.1730721
14,79,348,28.6951511,77.1730721
14,79,350,28.6951511,77.1730721
14,79,353,28.6951511,77.1730721
14,79,354,28.6888138,77.1619327
14,79,355,28.6951511,77.1730721
14,80,121,20.281966,85.8179769
14,80,122,20.281966,85.8179769
14,80,123,20.281966,85.8179769
14,80,124,20.281966,85.8179769
14,80,125,20.281966,85.8179769
14,80,126,20.281966,85.8179769
14,80,128,20.281966,85.8179769
14,80,143,20.281966,85.8179769
14,80,147,20.281966,85.8179769
