old,new,unify
1,21,1
2,20,1
3,19,1
4,18,1
5,17,1
6,22,1
7,23,1
7,24,1
11,39,2
9,41,2
10,42,2
8,25,2
12,33,2
13,40,2
13,32,2
14,31,2
15,29,2
16,27,2
17,28,2
18,30,2
19,26,2
20,34,3
20,35,3
21,37,3
22,36,3
23,38,3
24,112,4
25,111,4
26,113,4
27,114,4
28,115,4
29,115,4
30,116,4
31,117,4
32,126,5
33,123,5
34,122,5
35,125,5
36,124,5
37,121,5
38,120,5
39,119,5
40,118,5
41,127,6
42,128,6
43,130,6
44,129,6
45,134,6
46,131,6
47,133,6
48,132,6
49,136,6
50,135,6
51,144,7
52,140,7
53,138,7
53,139,7
54,142,7
55,137,7
56,143,7
57,141,7
58,150,8
59,149,8
60,151,8
61,152,8
62,148,8
63,146,8
64,147,8
65,153,8
66,145,8
67,154,9
68,161,9
69,157,9
70,156,9
71,158,9
72,158,9
73,155,9
74,159,9
75,160,9
76,162,10
77,163,10
78,165,10
79,165,10
80,166,10
81,167,10
82,164,10
83,168,11
84,169,11
85,172,11
85,173,11
86,171,11
87,174,11
88,175,11
89,170,11
90,176,11
91,177,12
92,178,12
93,180,12
94,183,12
95,179,12
96,182,12
97,181,12
98,246,13
99,245,13
100,244,13
101,247,13
102,248,13
103,250,13
104,249,13
105,186,12
106,185,12
107,184,12
108,187,12
109,188,12
110,189,12
111,190,12
112,191,12
113,277,14
114,281,14
115,280,14
116,279,14
117,278,14
118,275,15
119,276,15
120,273,15
121,274,15
122,271,15
123,270,16
124,270,16
125,272,16
126,268,16
127,269,16
128,266,16
129,267,16
130,288,17
131,287,17
132,285,17
133,283,17
134,282,17
135,284,17
136,286,17
136,289,17
137,290,17
138,292,18
139,291,18
140,294,18
141,293,18
142,301,18
143,300,18
144,295,18
145,296,18
146,297,18
147,298,18
148,299,18
149,307,19
150,308,19
151,309,19
152,310,19
153,311,19
154,306,19
155,305,19
156,302,19
157,303,19
158,304,19
159,304,19
160,312,19
161,313,19
162,314,19
163,327,20
164,325,20
165,328,20
166,323,20
167,326,20
168,321,20
169,322,20
170,320,20
171,324,20
172,319,21
173,315,21
174,316,21
175,317,21
176,318,21
177,318,21
178,329,22
179,335,22
180,334,22
181,330,22
182,331,22
183,332,22
184,333,23
185,338,23
186,336,23
187,337,23
188,340,23
189,341,23
190,342,23
190,339,23
191,353,24
192,354,24
203,355,24
204,356,24
193,345,25
194,344,25
195,347,25
196,348,25
197,343,25
198,349,25
199,350,25
200,352,25
201,351,25
202,346,25
205,358,26
206,357,26
207,357,26
208,359,26
209,362,26
210,363,26
211,361,26
212,360,26
213,377,27
214,378,27
215,373,27
216,379,27
217,375,27
218,373,27
219,373,27
220,374,27
221,381,28
222,382,28
223,383,28
224,380,28
225,390,28
226,389,28
227,388,28
228,385,28
229,384,28
230,386,28
230,391,28
230,387,28
231,394,29
232,393,29
233,392,29
234,370,30
235,370,30
236,372,30
237,371,30
238,366,30
239,367,30
240,365,30
241,364,30
242,368,30
243,369,30
244,403,30
245,401,30
245,400,30
245,402,30
246,399,31
247,398,31
248,397,31
249,396,31
250,395,31
251,259,31
252,260,31
253,264,31
253,265,31
254,256,31
255,258,31
256,257,31
257,254,31
258,255,31
259,262,31
260,263,31
261,261,31
262,253,31
263,252,31
264,251,31
265,243,32
266,242,32
267,241,32
268,240,32
269,238,32
270,239,32
271,214,33
272,213,33
273,215,33
274,216,33
275,212,33
276,211,33
277,217,33
278,218,33
279,210,33
280,209,33
281,208,33
282,207,33
283,206,33
284,205,33
285,204,34
286,203,34
291,202,34
287,200,34
288,200,34
289,199,34
290,201,34
292,198,35
293,197,35
294,196,35
295,195,36
296,193,36
297,192,36
298,194,36
299,237,37
300,236,37
301,233,38
302,232,38
303,235,38
304,234,38
305,228,39
306,228,39
307,229,39
308,231,39
309,230,39
310,227,40
311,226,40
312,223,41
313,222,41
314,224,41
315,225,41
320,108,42
321,109,42
322,110,42
325,110,42
326,107,42
323,98,42
324,96,42
324,99,42
338,95,42
335,97,42
327,103,43
328,102,43
329,102,43
330,101,43
331,100,43
332,104,43
333,105,43
334,106,43
336,94,44
337,93,44
339,86,44
340,86,44
341,87,44
342,89,44
342,88,44
343,90,44
344,92,44
345,91,44
346,83,45
347,84,45
348,81,45
349,82,45
350,85,45
351,79,46
352,78,46
353,78,46
354,80,46
355,74,46
356,73,46
357,76,46
358,75,46
359,77,46
360,72,46
361,71,46
362,63,47
362,61,47
371,62,47
363,70,47
364,68,47
365,67,47
366,66,47
367,66,47
368,65,47
369,69,47
370,64,47
372,56,48
373,54,48
374,57,48
375,59,48
376,60,48
376,53,48
376,55,48
376,58,48
377,46,49
378,45,49
379,44,49
380,47,49
381,48,49
382,49,49
383,43,49
384,43,49
385,52,49
386,51,49
387,50,49
388,13,50
389,15,50
390,16,50
391,11,50
392,14,50
393,12,50
394,10,50
395,8,50
396,9,50
397,2,51
398,1,51
399,3,51
400,5,51
401,6,51
402,4,51
403,7,51
