"Cand_Code","Cand_Name","Party_code"
"S01PC01CA01","GODAM NAGESH","S0044"
"S01PC01CA02","NARESH","N0005"
"S01PC01CA03","RAMESH RATHOD","S0045"
"S01PC01CA04","RATHOD SADASHIV","N0001"
"S01PC01CA05","NETHAWATH RAMDAS","N1001"
"S01PC01CA06","None of the Above","N0000"
"S01PC01CA07","MOSALI CHINNAIAH","N1001"
"S01PC01CA08","PAWAR KRISHNA","N1001"
"S01PC01CA09","BANKA SAHADEV","N1001"
"S01PC02CA01","BALKA SUMAN","S0044"
"S01PC02CA02","G. VIVEKANAND","N0005"
"S01PC02CA03","DR. JANAPATI SARAT BABU","S0045"
"S01PC02CA04","VELTHURU MALLAIAH","U1310"
"S01PC02CA05","TAGARAM SHANKAR LAL","N0001"
"S01PC02CA06","KALVALA SHANKAR","U1103"
"S01PC02CA07","JINNA RAMADEVI","N1001"
"S01PC02CA08","KALVALA SANJEEV","U1311"
"S01PC02CA09","BUPELLI NARAYANA","N1001"
"S01PC02CA10","None of the Above","N0000"
"S01PC02CA11","VENKATA SWAMY INJAM","U9001"
"S01PC02CA12","THALLAPALLI SRINIVAS","N1001"
"S01PC02CA13","GADDALA VINAY KUMAR","N1001"
"S01PC02CA14","J. V. RAJU","U0995"
"S01PC02CA15","KAMILLA JAYA RAO","N1001"
"S01PC02CA16","MOUTAM RAVINDER","N1001"
"S01PC02CA17","GORRE RAMESH","N1001"
"S01PC02CA18","BOTHA VENKATA MALLAIAH","U0192"
"S01PC03CA01","VINOD KUMAR BOINAPALLY","S0044"
"S01PC03CA02","PONNAM PRABHAKAR","N0005"
"S01PC03CA03","CHENNAMANENI VIDYA SAGAR RAO","N0002"
"S01PC03CA04","SHAIK MAHMOOD","U1573"
"S01PC03CA05","B. LAXMAN","N0001"
"S01PC03CA06","REDDI MALLA SRINIVAS","U1316"
"S01PC03CA07","MOHAMMED AMJAD MOHIUDDIN","N1001"
"S01PC03CA08","None of the Above","N0000"
"S01PC03CA09","BURLA RAVI","N0006"
"S01PC03CA10","KANDEM PRABHAKAR","N1001"
"S01PC03CA11","L. PRABHAKAR REDDY","U1103"
"S01PC03CA12","SRINIVAS REDDY LINGAMPALLY","N1001"
"S01PC03CA13","DR. DHARMAIAH VENDAVETLA","U0201"
"S01PC03CA14","MEESALA RAJI REDDY","U1593"
"S01PC03CA15","MALLESH YADAV BARLA","N1001"
"S01PC03CA16","UPPULETI LAXMAN","N1001"
"S01PC03CA17","RANAVENI LAKSHMAN","U0995"
"S01PC03CA18","PULIKOTA RAMESH","N1001"
"S01PC04CA01","KALVAKUNTLA KAVITHA","S0044"
"S01PC04CA02","MADHU YASKHI GOUD","N0005"
"S01PC04CA03","ENDALA LAKSHMINARAYANA","N0002"
"S01PC04CA04","MALIK MOHTASIM KHAN","U1573"
"S01PC04CA05","BAGWAN B.","N1001"
"S01PC04CA06","TALARI RAMULU","N0001"
"S01PC04CA07","None of the Above","N0000"
"S01PC04CA08","ABDUL GANI","U0192"
"S01PC04CA09","KANDEM PRABHAKAR","N1001"
"S01PC04CA10","BANJA VEERAPPA","U1103"
"S01PC04CA11","SINGAREDDY RAVINDRA REDDY","U1593"
"S01PC04CA12","CHIRULINGADRULA VENKATESHAM","N1001"
"S01PC04CA13","S. CHANDRAIAH","N1001"
"S01PC04CA14","RAPELLY SRINIVAS","S0001"
"S01PC04CA15","KOTAPATI NARSIMHAM NAIDU","N1001"
"S01PC04CA16","SAGAR SUDDALA","U0201"
"S01PC04CA17","ABDUL KAREEM KHAN (BABU)","N1001"
"S01PC05CA01","B. B. PATIL","S0044"
"S01PC05CA02","SURESH KUMAR SHETKAR","N0005"
"S01PC05CA03","K. MADAN MOHAN RAO","S0045"
"S01PC05CA04","MARRI DURGESH","U1316"
"S01PC05CA05","MAHMOOD MOHIUDDIN","U1593"
"S01PC05CA06","None of the Above","N0000"
"S01PC05CA07","SYED FEROZUDDIN","N0001"
"S01PC05CA08","BENJAMIN RAJU","N1001"
"S01PC05CA09","RAMA RAO","N1001"
"S01PC05CA10","DR. SUNEEL KUMAR CHOWDHARY","S0001"
"S01PC05CA11","TANDALE AMBAJI RAO","N1001"
"S01PC06CA01","KALVA KUNTLA CHANDRASEKHAR RAO","S0044"
"S01PC06CA02","DR. P. SHRAVAN KUMAR REDDY","N0005"
"S01PC06CA03","CHAGANLA NARENDRA NATH","N0002"
"S01PC06CA04","KUNDETI RAVI","N1001"
"S01PC06CA05","PRABHUGOUD PULLAIAHGARI","U1593"
"S01PC06CA06","None of the Above","N0000"
"S01PC06CA07","KOMPELLI PRABHUDAS","U1316"
"S01PC06CA08","Y. SHANKAR GOUD","N0001"
